B0,ConKingdom,E,El,Habitat,OriginalTraitName,Rsqu,Tl,aic,aicc,bic,id
0.02638657790924768,,1.9380956746249751,2.5164988149287386,terrestrial,Population Growth Rate,0.9178263908222588,292.3823248329485,-83.86124521605848,-62.86124521605848,-82.26966412486499,1
0.025999846067311882,,1.7473034998598078,2.5347951663216395,terrestrial,Population Growth Rate,0.8948815714913716,293.87637299683234,-80.36544724896451,-59.365447248964514,-78.77386615777104,2
0.01644637872178101,,3.071201958077091,3.248473806148663,terrestrial,Population Growth Rate,0.9542562704045225,289.32902710432836,-84.89110828122011,-56.89110828122011,-83.68076790924393,3
10.158087561258254,,1.1525574345409542,1.1052342897722731,terrestrial,Surface Area-Specific Photosynthetic Oxygen Production Rate,-0.13188443292504015,224.00230815969357,-148.9078512806844,-64.90785128068441,-148.59008511396507,4
9.439872543300604e-05,,2.285037832163538,5.887886870409959,freshwater,Individual Mass Growth Rate,0.9592777051979092,301.0273061627882,-120.41166548108217,-78.41166548108217,-119.6227671717373,5
1.700977752027289e-11,,0.758257750839507,2.8624007170635695,freshwater,Mass-Specific Respiration Rate,0.9908445680200126,308.07480883126766,-471.47762334404484,-429.47762334404484,-470.6887250347,6
0.07072894708400287,,1.0834867029587891,2.771060801943294,freshwater,Population Growth Rate,0.9820652260839803,299.91316840666485,-87.0798424802895,-70.2798424802895,-85.1402158811375,7
0.38209959246534203,,0.6118690020738666,3.357791485781263,terrestrial,Population Growth Rate,0.9808023817930285,312.6830705122329,-33.78766389206505,8.212336107934952,-32.99876558272017,8
0.5861781140089498,,0.42490055982653785,4.997734737721684,terrestrial,Population Growth Rate,0.9892004123599784,314.97494261249545,-48.97816694371386,-27.97816694371386,-47.386585852520376,9
0.3695926032868416,,1.6383593062836859,3.1062219960768562,terrestrial,Radial Growth Rate,0.9578711255307769,296.5337393334559,-15.51859277893065,68.48140722106935,-15.200826612211307,10
